study_label,item_type,frame_tag,verbatim_quote,page,cited_work,note
"Kleimeier, Viehs (2021)",paris_policy,,"Whether this market-based solution alone will ensure a sufficiently fast transition to a low-carbon economy, however, warrants further investigation.",4,,attenuation caveat: market solution alone may not deliver fast transition
"Kleimeier, Viehs (2021)",key_citation,,"We are amongst the first to differentiate between risk mitigation and investor preferences. In the spirit of Fama and French (2007), we postulate that investors care not only about expected investment payoffs but can also have tastes and thus preferences for certain types of assets.",2,Fama and French (2007),taste/preference asset-pricing anchor for the investor-preference hypothesis
"Kleimeier, Viehs (2021)",key_citation,,"to assess companies’ environmental performance and ultimately pressure companies to reduce their emissions. Signatories thus represent an ‘institutionalization of norms’ (Kolk et al., 2008).",2,"Kolk et al., 2008",institutionalization-of-norms anchor for CDP signatory pressure
"Kleimeier, Viehs (2021)",key_citation,,"avoids the measurement, aggregation and convergence problems associated with the commonly-used but indirect measure of corporate environmental ratings (e.g. Semenova and Hassel, 2015).",2,"Semenova and Hassel, 2015",construct-validity anchor against indirect environmental ratings
"Kleimeier, Viehs (2021)",status,,,,,Economics Letters 4-page research note; very compact theory - risk mitigation vs. investor preferences framing plus policy caveats.
Kordschia (2020),frame_use,RISK,"Advocates for CSR also argue that these activities should best be analyzed from a risk management perspective. Accordingly, responsible behavior can build up moral capital or goodwill that has an insurance-like property to mitigate the financial impact of unforeseen negative events (Godfrey 2005).",1615,,core frame: CSR as moral capital with insurance-like risk-mitigation property
Kordschia (2020),frame_use,STAKE,"Similarly, stakeholder engagement can lower capital costs through superior relationships with banks and bondholders and credibly convey a greater long-term orientation of company.",1616,,author claim: stakeholder engagement lowers capital cost via bank/bondholder relations
Kordschia (2020),frame_use,SIG,"Similarly, signalling theory (Spence 1973; Morris 1987) suggests that companies incur the costs of assurance in order to indicate to the addressees of CSR information that the company is committed to high-quality reporting (Simnett et al. 2009).",1619,,signalling frame for CSR assurance; basis of H2 on CSRA and COD
Kordschia (2020),frame_use,AGENCY,Some researchers argue that these expenditures represent agency costs that arise due to managerial overinvestments for private gains at the expense of shareholders (Harjoto and Jo 2011).,1615,,"opposing frame: CSR spend as agency cost/overinvestment, cited view not author's"
Kordschia (2020),mechanism_extra,,"Generally, creditors are not interested in maximizing shareholder wealth, but in minimizing default risk (Merton 1974). Therefore, they have a greater interest that material environmental, social, and governmental matters are transparently disclosed and mitigated through CSR activities.",1617,,"author's core mechanism: creditors price default risk, so value ESG mitigation"
Kordschia (2020),mechanism_extra,,They can also require the inclusion of ESG-specific covenants in transaction documents such that the issuing company has to comply with certain sustainability policies or practices (O’Sullivan and O’Dwyer 2015; PRI 2018).,1617,,covenant channel: creditors impose ESG covenants as direct monitoring device
Kordschia (2020),mechanism_extra,,"not only large institutional investors and banks, but also socially responsible private investors may now have an impact on companies’ credit costs through CSR screenings as part of their lending decisions.",1612,,investor-base/screening channel: SRI demand shifts credit costs; paper's headline explanation
Kordschia (2020),counter,,"Managers possess substantial leeway regarding the extent and usefulness of CSR disclosure, which they can exploit to present their CSR activities in a more favorable way (Magness 2006).",1618,,"greenwashing/discretion counter: CSR disclosure manipulable, motivates assurance"
Kordschia (2020),key_citation,,Godfrey (2005) shows that the optimal level of CSR depends on the reduction of risks by means of the economics of insurance (Mayers and Smith 1982; Cummins et al. 1992).,1617,Godfrey (2005),anchor for whole risk-management/insurance model of optimal CSR
Kordschia (2020),key_citation,,"“Some corporate decisions increase the wealth of stockholders while reducing the wealth of bondholders and, in cases where the wealth transfers are large enough, stock prices can rise from decisions that reduce the value of the firm” (Jensen and Smith 1985, p. 22).",1617,"Jensen and Smith 1985, p. 22",anchor for shareholder-creditor divergence; drives linear CSR-COD prediction
Kordschia (2020),key_citation,,"A positive association between CSR and COD can be derived from stakeholderagent theory (Hill and Jones 1992), which extends the principal-agent paradigm of financial economics (Jensen and Meckling 1976) by integrating a broader stakeholder focus (Freeman 1984).",1616,Hill and Jones 1992,stakeholder-agent theory anchor opening the hypothesis development
Kordschia (2020),status,,,,,"gate2_flag:year_mismatch; Rev Manag Sci 15:1611-1643: received 2019 (filename), online 2020 (worklist), issue 2021. Surname is KORDSACHIA - worklist misspells | Review of Managerial Science empirical article; explicit 'Theory and hypotheses' section building Godfrey's insurance/risk-management model for creditors; no Paris/climate-policy content at all."
Kozak (2021),frame_use,RISK,Transition risk impacts the incomes of enterprises and households and is a source of financial losses for credit institutions and investors. It affects the economy through investment and productivity channels. The basic measure of transition risk is the size and/or intensity of GHG or CO2 emissions.,1,,transition-risk channel; emission intensity is its basic measure; lender losses
Kozak (2021),frame_use,SIG,Siddique et al. showed that companies that disclosed their carbon footprints data had better access to long-term debt markets [24],3,,carbon disclosure/transparency lowers information asymmetry; cited finding
Kozak (2021),frame_use,STAKE,"market investors and financial institutions penalize enterprises for their exposure to carbon risk, including risks that are due to the possibility of deteriorating the reputation and incurring charges for contributing to the process of environmental erosion",10,,author claim; reputation-deterioration risk priced into debt
Kozak (2021),mechanism_extra,,The growing public pressure to limit the consequences of climate change has led financial institutions to include climate risk in their assessment of investment projects.,2,,credit-screening channel: pressure puts climate risk into lenders' project appraisal
Kozak (2021),mechanism_extra,,This means that financial markets perceive increased CO2 emissions as a source of possible increased charges for CO2 emissions or penalties for environmental pollution.,9,,anticipated future emission charges/pollution penalties raise high-carbon industries' debt cost
Kozak (2021),paris_policy,,"Due to the restrictive approach of the markets increasing the interest rates on funds for high-emitters, public programs would enable such companies to obtain cheaper funds for emission-reduction investments.",9,,EU MFF 2021-2027 climate funding can offset market carbon premium; attenuation
Kozak (2021),counter,,"While there are distant studies showing that pollution monitoring does not generate additional income, but increases production costs and capital depreciation [20]",2,,"cost-burden view; environmental effort as pure cost, cited minority position"
Kozak (2021),counter,,Zhou et al. found a nonlinear—U-shape—relationship between CO2 emissions and cost of debt in Chinese firms in the years 2011–2015. They explained that the deviation from linearity was significantly impacted by the mitigating influence of the media [43].,4,,"nonlinearity plus media moderation; relation not monotone, cited finding"
Kozak (2021),key_citation,,These results are in line with the results obtained by Caragnano et al. as to the countries and directions of changes in the amount of the premium imposed for carbon risk [53].,8,Caragnano et al. [53],"main European carbon-risk premium anchor, cited throughout"
Kozak (2021),key_citation,,"Hübel showed that the company’s improvement of its environmental standards can reduce future lawsuits and environmental disasters, help to lower credit risk, flatten the implied credit curve of CDS and lower the cost of long-term debt [15].",3,Hübel [15],litigation/credit-risk mechanism anchor for lower long-term debt cost
Kozak (2021),key_citation,,"Maaloul, while examining the relationship between the amount of GHG emissions and the cost of debt capital of Canadian companies, stated that, when granting loans, banks took into account the intensity of the company’s GHG emissions.",4,Maaloul [44],bank loan-pricing mechanism anchor for GHG intensity
Kozak (2021),status,,,,,"gate2_flag:duplicate; byte-identical copy 'Will the reduction of co emissions...' gets a duplicate_file status row (rule 6) | MDPI Energies empirical article; no named theories, mechanisms carried implicitly via literature review and policy framing"
Kumar & Firoz (2018),frame_use,RISK,"Prior studies indicate that emissions increase a firm’s exposure to environmental risk, which is negatively perceived by the firm’s lenders. In order to absorb this environmental risk, lenders charge an additional risk premium from the polluting firms.",1401,,lenders price environmental risk as an extra premium; author framing of core risk channel
Kumar & Firoz (2018),frame_use,SIG,"In cases of non-disclosure, information asymmetry or lack of publicly available information for all investors causes expectations of a higher rate of return on their investment (Easley and O’hara, 2004).",1401,,non-disclosure raises required return via information asymmetry
Kumar & Firoz (2018),frame_use,STAKE,"Prior environmental disclosure studies gave several explanations for firms’ willingness to voluntarily disclose their emissions information. Among all, Legitimacy Theory is considered as a most justifiable point to define the voluntarily GHG by the firms",1406,,legitimacy theory named as the rationale for voluntary carbon disclosure
Kumar & Firoz (2018),mechanism_extra,,"Coulson and Monks (1999) reported that a company with a serious environmental problem is unlikely to obtain funds without first addressing the problem, firms engaged in environmental management practices can benefit from banks considerations about environmental performance within lending decisions, including more favorable loan conditions.",1403,,credit-access and loan-terms channel in bank lending; cited finding
Kumar & Firoz (2018),mechanism_extra,,Probably the lenders are charging a higher rate because they want to recover the amount at the earliest because any objection by the environmental pollution control authority for the financed company may put their money in trouble and they may suffer loss.,1411,,lender-loss/enforcement channel: regulator action threatens recovery; authors' own reasoning
Kumar & Firoz (2018),counter,,"Therefore, if a firm can identify and effectively control carbon risk exposure through proactive carbon risk management, this risk may have a low probability of realization (UNEP FI, 2006).",1403,,attenuation: proactive carbon risk management lowers realization probability
Kumar & Firoz (2018),counter,,"Jung et al. (2016) observed that firms also manipulate the market by disclosing their emissions voluntarily under the CDP, the polluting firms’– voluntarily disclose their emissions to mitigate the negative impact of their environmental activities by displaying awareness about their carbon risk exposure",1403,,greenwashing/impression management: polluters disclose to blunt negative perception
Kumar & Firoz (2018),paris_policy,,"in case of non-fulfillment of carbon targets companies operating in Annex-1 parties (developed nations) have to buy extra carbon credit which will incur an additional cost to the company. Its resultant, the risk perception of debtors will increase. However, developing countries do not have any carbon targets.",1402,,Kyoto binding targets raise debtor risk perception; absent for developing countries
Kumar & Firoz (2018),key_citation,,"In their recent work, Jung et al. (2016) demonstrated that firms’ carbon risk influences default risk because of the resultant uncertainty in cash flows. On balance, firms with a high-emissions level will be unable to pay their debts.",1404,Jung et al. (2016),"carbon risk to default risk anchor, cited throughout"
Kumar & Firoz (2018),key_citation,,"Moreover, Sharfman and Fernando (2007) argued that firms with higher emissions level have to bear the higher COD because lenders demand an extra environmental risk premium for being a stack in emission-liable firm.",1403,Sharfman and Fernando (2007),environmental risk premium anchor for the COD hypothesis
Kumar & Firoz (2018),key_citation,,"Li et al. (2014) investigated the relationship among emissions, Australian carbon reduction plan and the cost of capital using 200 firms listed on ASX during 2006 to 2010. The study predicts a positive relationship between emission intensity and debt.",1404,Li et al. (2014),closest prior emissions-COD study; supplies predicted positive sign
Kumar & Firoz (2018),status,,,,,"Managerial Finance (Emerald), short empirical paper on Indian CDP firms; theory is thin and mostly literature-review framing; climate-policy content is Kyoto Protocol, not Paris."
Kölbel et al (2020),frame_use,RISK,"Climate risk exposure may potentially diminish a firm’s profitability and affect its ability to fulfill its financial obligations over time and, hence, may lead to increased credit risk.",2,,"core channel: climate risk cuts profitability, raises default/credit risk"
Kölbel et al (2020),frame_use,SIG,"Measuring climate-risks disclosures in Item 1.A of 10-K reports affords several advantages. First, as it relies on mandatory disclosure, it avoids the problems of strategic non-disclosure and greenwashing Lyon and Maxwell (2011).",3,,disclosure/information frame; mandatory filing counters strategic non-disclosure and greenwashing
Kölbel et al (2020),mechanism_extra,,"A “carbon premium” on equity returns could be driven by risk perception, but it could also be driven by divestment policies that reflect investor’s moral tastes (Hong and Kacperczyk, 2009; Bolton and Kacperczyk, 2020). This alternative hypothesis is implausible in the CDS market",4,,investor-taste/divestment channel separated from risk pricing; taste channel implausible for credit
Kölbel et al (2020),paris_policy,,"Transition risk is more imminent and more sensitive to political developments. In line with that, we find that the price effect of transition risk increased with the Paris Climate Accord of 2015.",4,,"amplification: transition risk politically sensitive, priced more strongly post-Paris"
Kölbel et al (2020),paris_policy,,Both Ilhan et al. (2019b) and Delis et al. (2019) find that the 2015 Paris Agreement was a pivotal point and that only afterwards climate change became price and risk relevant.,21,,cited finding used as premise: Paris as pricing pivot; motivates post-Paris split
Kölbel et al (2020),paris_policy,,"Strong regulatory actions may avoid the worst physical impacts of climate change in the longer term, but also endanger firms that are affected by the regulation in the short term.",21,,authors' claim: policy stringency trades long-run physical risk against short-run transition risk
Kölbel et al (2020),counter,,"In fact, according to a recent survey (Ilhan et al., 2019a), many institutional investors deem the current quality and quantity of climate risk disclosure insufficient. As a result, it is not apparent whether investors are pricing the climate risk information contained in 10-K reports.",2,,"attenuation: unstandardized, low-quality disclosure may not be priced by investors"
Kölbel et al (2020),counter,,"We conjecture that the potential damage due to physical climate risks is highly uncertain, or investors believe that they will materialize in the far distant future (or both).",22,,attenuation for physical risk: uncertainty and distant horizon rationalize null effect
Kölbel et al (2020),key_citation,,The idea in Matsumura et al. (2018) is that the choice to disclose on climate-change risk signals awareness and is rewarded by a lower implied cost of equity.,5,Matsumura et al. (2018),"signaling anchor: disclosure choice signals awareness, lowers cost of capital"
Kölbel et al (2020),key_citation,,"First, companies may strategically choose not to disclose, especially when managers fear that the information will be perceived as unfavorable by investors Lyon and Maxwell (2011).",7,Lyon and Maxwell (2011),"greenwashing/strategic non-disclosure anchor, invoked twice to justify mandatory measure"
Kölbel et al (2020),key_citation,,"In contrast, Jung et al. (2018) show that the penalty that a firm with high carbon-related risks receives is mitigated with the firm’s climate awareness, proxied by the willingness to respond to the Climate Disclosure Project (CDP) survey.",5,Jung et al. (2018),cost-of-debt anchor: carbon risk penalty mitigated by disclosed climate awareness
Kölbel et al (2020),status,,,,,"SSRN working paper (June 2020, U. Zurich); empirical CDS/NLP study with no hypothesis section — theory sits in the introduction, the measurement section and the Paris/results discussion."
Lee (2022),frame_use,SIG,"By voluntarily disclosing reliable carbon emissions information, companies communicate to the market about future possible costs of carbon emissions. This reduces uncertainty about future cash flows and costs of capital [36–39], which can contribute to higher corporate value and credit ratings.",4,,"core signaling/information channel: disclosure cuts cash-flow uncertainty, raises ratings"
Lee (2022),frame_use,RISK,"Heal [34] explained that CSR performance, including good environmental performance, improves long-term financial soundness by reducing risk due to conflict reduction, a decrease in pollution, improving conflict of interest with regulators, creating brands, increasing employee productivity, and reducing costs of capital.",4,,risk-mitigation logic (cited Heal): env performance lowers risk and cost of capital
Lee (2022),frame_use,STAKE,"Based on the stakeholder theory that asserts firms should pay attention to the interest of shareholders including outside stakeholders, the voluntary disclosure of carbon emission information may be useful to debtholders by decreasing information asymmetry between management and external stakeholders, thereby diminishing the litigation threat to companies [55].",11,,paper's declared frame; stakeholder theory routed to debtholders and litigation threat
Lee (2022),frame_use,AGENCY,"Based on the agency issues between management and external stakeholders, the effect of voluntary disclosure of carbon emission information may vary. Generally, managers retain more essential information on the intrinsic value of firms compared to external stakeholders.",10,,explicit agency framing; disclosure value conditional on managerial information advantage
Lee (2022),mechanism_extra,,"if a company does not disclose carbon emission information, the market can regard it as a reverse signal that the firm is emitting high levels of carbon. As a result, the market may lower its corporate value or credit rating for firms that avoid disclosure.",4,,"adverse-selection: silence read as bad news, non-disclosers penalised in ratings"
Lee (2022),mechanism_extra,,"This can have a positive effect on corporate liquidity by increasing investors’ demand for securities issued by the firm [41]. As a result, it ultimately lowers the cost of capital, thereby improving its corporate value or credit rating.",4,,investor-base/liquidity channel: broader securities demand lowers cost of capital
Lee (2022),counter,,"If the market finds out that the company has reported unreliable information, it may lose credibility. In this case, the risk that a company will bear, such as facing litigation probability, is very high. Therefore, it can be said that high reliability is secured despite the voluntary disclosure.",3,,cheap-talk concern raised then rebutted via credibility loss and litigation cost
Lee (2022),counter,,"Although the market is likely to underestimate companies with high carbon emission levels, the incentive for companies to voluntarily disclose carbon emission information can be explained as follows.",4,,"tension: high emitters discounted, so disclosure carries bad-news/proprietary cost"
Lee (2022),key_citation,,"Meanwhile, according to Demerjian et al. [9], managerial ability is the ability to efficiently utilize a given resource to generate high returns",4,Demerjian et al. [9],managerial-ability construct anchoring H2 moderation
Lee (2022),key_citation,,Matsumura et al. [13] compared companies that disclose carbon emission information with those that do not and found that the market value of companies that voluntarily disclose carbon emission information was significantly higher than that of non-disclosed companies.,4,Matsumura et al. [13],"carbon-disclosure valuation anchor, cited repeatedly for H1 and reliability"
Lee (2022),key_citation,,Clarkson et al. [12] show that investors are more likely to react positively to corporate environmental disclosure because of the lack of public information available to the public.,8,Clarkson et al. [12],information-scarcity rationale for pricing environmental disclosure
Lee (2022),status,,,,,"MDPI Sustainability empirical paper (Korea, CDP voluntary carbon disclosure and credit ratings); numeric-only citation style, theory concentrated in Section 2 plus an agency-framed passage inside results; no Paris/climate-policy claims."
Lemma et al (2017),frame_use,SIG,"First, voluntary disclosure reduces information asymmetries between posed by climate change” caused by carbon emissions (Jung et al., the firm and its capital providers, which in turn reduces monitoring 2018). Voluntary disclosure theory suggests that companies with costs.",113,,"authors' own: disclosure cuts information asymmetry with capital providers, lowering monitoring costs"
Lemma et al (2017),frame_use,RISK,"These impacts of climate change have direct bearing on firm's future the weighted average cost of capital (WACCi,t), described in the sem- cash flows and, by extension, its ability to repay debts and maintain",114,,authors' own: climate-change impacts hit future cash flows and ability to repay debts
Lemma et al (2017),frame_use,STAKE,"carbon risk is consistent with legitimacy theory. It corroborates the argument that firms with high corporate carbon risk would be willing to increase disclosure to obtain legitimacy for their activities and earn other rewards such as lower cost of capital, which ultimately help",124,,"authors' own: legitimacy motive links high carbon risk, disclosure and lower cost of capital"
Lemma et al (2017),paris_policy,,Climate change poses risks to a firm's value through several channels bon disclosure and cost of capital is weaker for firms with including the prospect of increased costs of compliance to carbon pol-,114,,amplification: compliance costs of carbon policies as a value/risk channel
Lemma et al (2017),mechanism_extra,,"to generate future customers, incorporate borrowers' environmental/carbon risk exposures into their capital allocation decisions",114,,bank-lending channel: lenders embed borrowers' carbon risk in capital allocation
Lemma et al (2017),counter,,"vein, both Verrecchia (1983) and Guidry and Patten (2012) contend suspicion or doubt about their environmental activities (Adams, 2004; that disclosure of (carbon) information comes with proprietary costs",113,,"cited: carbon disclosure carries proprietary costs, offsetting benefits"
Lemma et al (2017),counter,,"In a similar vein, He et al. (2013) argue that firms with good carbon performance face a smaller legitimacy problem, and investors are probably less sensitive to the",114,,"cited He et al.: good carbon performers face smaller legitimacy problem, weaker effect"
Lemma et al (2017),counter,,"Unfortunately, that does not appear to be the case. The findings show that corporate carbon risk and voluntary carbon disclosure are related so that those with the highest carbon risk tend to be better disclosers.",124,,authors' own: disclosure does not mirror carbon performance; greenwashing/decoupling
Lemma et al (2017),key_citation,,"Corporate carbon risk refers to “threats and opportunities that are associated with a firm's management of carbon emissions” (Jung et al., 2018; Subramaniam et al., 2015). It poses regulatory, physical,",113,"Jung et al., 2018",carbon-risk construct and regulatory/physical/business risk anchor
Lemma et al (2017),key_citation,,"Thus, both voluntary disclosure and signaling theo- affect cost of capital of a firm through its effect on the firm's real ries imply an inverse association between voluntary carbon disclosure decisions including production, investment, and capital allocation and corporate carbon risk (Clarkson et al., 2008).",113,"Clarkson et al., 2008",voluntary disclosure and signaling theory anchor
Lemma et al (2017),key_citation,,"Likewise, He et al. (2013) provide evidence corroborating a positive association between carbon disclosure and corporate carbon risk.",114,He et al. (2013),anchor for disclosure-carbon risk link and cost of capital conditionality
Lemma et al (2017),status,,,,,"Business Strategy and the Environment empirical article (South Africa/JSE, CDP data); cost of capital focus, cost of debt only in additional analysis; two-column text dump interleaves columns, so some quotes contain adjacent-column lines."
Li & Qiu (2026),frame_use,RISK,"Because bondholders do not participate in the operating upside that may accompany pollution-intensive production, they are effectively exposed to downside realizations without offsetting gains.",1,,bondholders bear downside without upside; asymmetric environmental tail-risk exposure
Li & Qiu (2026),frame_use,OTHER:option-based structural credit risk,Environmental regulatory and liability uncertainty thus creates additional short-put exposure for bondholders.,7,,authors' own frame: env. uncertainty as extra short put written by bondholders
Li & Qiu (2026),mechanism_extra,,"When firms release toxic chemicals, they may face future compliance investments, remediation and cleanup obligations, and litigation that reduce cash flows and collateral values.",1,,"cost/liability channel: compliance, remediation, litigation impair cash flow and collateral"
Li & Qiu (2026),mechanism_extra,,"Third, consent decrees and court-mandated remediation can require cash reserves or trusts that encumber assets ahead of unsecured creditors, effectively granting these obligations senior status in the payment waterfall.",7,,seniority/priority channel: env. obligations rank ahead of unsecured bondholders
Li & Qiu (2026),mechanism_extra,,"The key implication is that credit spreads can widen through required risk premia even when near-term expected default losses do not change, because pollution increases priced uncertainty about adverse cost realizations.",2,,risk-premium channel: priced uncertainty widens spreads absent expected-default change
Li & Qiu (2026),mechanism_extra,,"Hypothesis H2(b) predicts that investor composition moderates the pollution–spread relationship. Investors with greater attention to environmental risks may price pollution exposure more aggressively, strengthening the sensitivity.",24,,investor-base channel: ESG/attentive clienteles price pollution more aggressively
Li & Qiu (2026),counter,,"For heavily regulated firms, intensive monitoring converts uncertain environmental tail risk into predictable compliance obligations that bondholders can price as expected cash-flow effects rather than risk premia.",27,,"attenuation: oversight converts tail risk into predictable, priced compliance cost"
Li & Qiu (2026),paris_policy,,"Carbon exposure, by contrast, depends more heavily on evolving policy design and implementation across jurisdictions, with enforcement timelines and cost pass-through that can extend beyond typical bond maturities.",19,,"climate-policy attenuation: evolving carbon policy, timelines exceed bond maturities"
Li & Qiu (2026),key_citation,,"Following the structural view that risky debt resembles a risk-free bond minus a put option on firm assets (Merton 1974; Leland 1994), we allow for an intermediate environmental liability realization that can arrive before maturity.",1,Merton 1974,structural credit-risk anchor; debt as risk-free bond minus put
Li & Qiu (2026),key_citation,,we model straight debt as a risk-free bond minus a put option on firm assets (Merton 1974; Leland 1994).,6,Leland 1994,co-anchor for the endogenous-default structural debt-valuation frame
Li & Qiu (2026),key_citation,,"Following the option-based approach to credit spreads (e.g., Culp, Nozawa, and Veronesi 2018)",6,"Culp, Nozawa, and Veronesi 2018",option-based credit-spread approach the model explicitly follows
Li & Qiu (2026),status,,,,,"Finance working paper (Mar 2026), U.S. corporate bonds x EPA Toxics Release Inventory; theory is a formal option-based structural credit-spread model; pollution is toxic chemicals, explicitly non-carbon."
Li et al (2014),frame_use,SIG,The emissions reduction plan is a signal that may indicate informational asymmetry among existing managers and investors regarding carbon emissions.,403,,author's core info-asymmetry framing: policy as signal of manager-outsider gap
Li et al (2014),frame_use,RISK,"If a company is emissions-liable and emissions-intensive, then lenders are likely to charge the company a higher risk premium. The emissions reduction plan is, therefore, expected to increase the riskiness of debt owed by the emissions-liable companies.",403,,"author's own claim: emissions raise default risk, lenders price a premium"
Li et al (2014),mechanism_extra,,"First, the company’s default premium may increase as credit rating agencies downgrade the debt of certain issuers in response to concerns about carbon emissions from carbon-intensive assets.",403,,ratings channel: agency downgrades on carbon-intensive assets raise default premium
Li et al (2014),mechanism_extra,,"Second, the riskiness of breaching debt covenants will be increased because carbon costs may reduce the range of assets available to debt holders.",403,,covenant/collateral channel: carbon costs shrink assets pledgeable to lenders
Li et al (2014),mechanism_extra,,"Third, in general, rising litigation and remediation costs associated with higher carbon emissions can reduce the economic resources available to service the debt. If some companies pursue risky research and development into more “green” technologies and processes, wealth can also transfer from bond holders to shareholders",404,,litigation/remediation drain plus bondholder-to-shareholder wealth transfer via green R&D
Li et al (2014),paris_policy,,"On the one hand, debt holders will be reluctant to bear emission costs and they may require higher interest rates or more stringent debt covenants to mitigate the extra risks related to emissions.",401,,climate-policy claim: Australian carbon plan raises rates and tightens covenants
Li et al (2014),counter,,"First, the risks of intensive carbon emissions may not be recognized in time by the market. Given that discussions regarding carbon emissions among Australian listed companies only started in recent years, the understanding of the possible impact of carbon emissions may be inadequate.",415,,"attenuation: diffusion lag, delayed market recognition of carbon risk"
Li et al (2014),counter,,"Second, equity investors and owners might not treat the volume of carbon emissions as a significant risk since the emission costs for an individual company might be determined by other factors such as government subsidies, cost pass-through ability or specific regulatory requirements.",415,,"attenuation: subsidies, cost pass-through and regulation blunt firm-level carbon cost"
Li et al (2014),key_citation,,"Research has generally indicated that managers have better information than outsiders (e.g. individual investors) about their companies’ past and future operating performance (Sengupta, 1998).",403,"Sengupta, 1998",disclosure-quality/cost-of-debt anchor for the information-asymmetry premise
Li et al (2014),key_citation,,"CPA Australia (2009), in its comments on the superseded CPRS, argues that, if an entity owns a large number of carbon-intensive assets, the borrowing capacity of the entity would be reduced.",403,CPA Australia (2009),anchor for covenant/borrowing-capacity channel under carbon pricing
Li et al (2014),key_citation,,"In a recent theoretical work, Easley and O’Hara (2004) argue that information risk is an important risk factor that can be priced by the capital market.",404,Easley and O’Hara (2004),theoretical anchor: information risk priced into cost of capital
Li et al (2014),status,,,,,"Review of Accounting and Finance empirical paper on Australia's 2011 carbon pricing plan; short theory section, hypotheses for cost of debt and cost of equity."
Li et al (2022),frame_use,STAKE,believe that effective CSR can improve the relationship between enterprises and their stakeholders and is crucial for obtaining nec-,596,,stakeholder-theory leg of H1; CSR secures stakeholder resources and support
Li et al (2022),frame_use,SIG,"From the perspective of information asymmetry, Gelb and",596,,author frame label; CSR disclosure cuts creditors' investigation and supervision cost
Li et al (2022),frame_use,RISK,"which in turn reduces the risk premium and thus the rate of return required by creditors (Attig et al., 2013).",596,,"author claim: reputation lowers business risk, hence risk premium demanded by creditors"
Li et al (2022),mechanism_extra,,A possible explanation for this finding is that the implementation of the Green Financial System Guidelines makes creditors pay increased attention to the fulfillment of corporate environmental responsibilities.,600,,policy claim: green finance guidelines raise creditor attention to environmental responsibility
Li et al (2022),mechanism_extra,,credit policies increase the debt financing costs of heavy polluters,596,,"cited finding (Xu & Li 2020): policy raises polluters' debt cost, lowers green firms'"
Li et al (2022),mechanism_extra,,"increase creditors' perception of risks (Liu et al., 2019; Xu & Li, 2020)",594,,author claim: guidelines heighten creditors' risk perception of polluting borrowers
Li et al (2022),counter,,observe a U-shaped relationship between CSR and debt financing,595,,cited Ye & Zhang (2011): relation reverses above optimal CSR level
Li et al (2022),counter,,there is no significant relationship between CSR and debt financing,595,,cited Hajiha & Sarfaraz (2014) null result; paper calls literature inconclusive
Li et al (2022),key_citation,,"Based on the stakeholder theory, Fombrun and Shanley (1990)",596,Fombrun and Shanley (1990),named stakeholder-theory anchor of hypothesis development
Li et al (2022),key_citation,,"Using US companies as a sample, Goss and Roberts (2011)",595,Goss and Roberts (2011),"principal CSR-cost-of-bank-loan benchmark, cited throughout"
Li et al (2022),key_citation,,"creditors and debtors (Lambert et al., 2007) and alleviate financial con-",594,"Lambert et al., 2007",disclosure/information anchor for asymmetry-to-cost-of-capital channel
Li et al (2022),status,,,,,"gate2_flag:year_mismatch; CSR & Env Mgmt, DOI 10.1002/csr.2222; accepted Nov 2021 (filename), issue 2022 (worklist). Same paper. | Corp Soc Responsib Environ Manag 2022;29:593-608, empirical China CSR-cost-of-debt study; policy studied is China's 2016 Green Financial System Guidelines (green-finance regulation, not Paris/climate-specific), so no paris_policy records; two-column PDF dump interleaves columns, forcing short single-line or adjacent-line quotes."
Lin et al (2025),frame_use,RISK,"Lenders perceive high-­emission companies as high-­risk borrowers because of the increasing societal emphasis on carbon emissions (Hui et al. 2024; Xiang et al. 2022) and their negative public image (Hong and Kacperczyk 2009), which both lower profitability.",pdf-3,,lenders price high emitters as high-risk borrowers; societal pressure and image
Lin et al (2025),frame_use,SIG,Lenders incentivize borrowers to provide information that allows the former to better evaluate the latter's risk by offering lower borrowing rates (Chen et al. 2023; Hui et al. 2024).,pdf-3,,information/disclosure channel: rate discount as incentive to reveal risk
Lin et al (2025),frame_use,STAKE,"Although Friedman (1970) asserted that CSR leads to agency problems, Freeman and Reed (1983) suggested that companies benefit from CSR activities because they respond better to stakeholder concerns.",pdf-3,,stakeholder benefit claim (Freeman and Reed) set against Friedman agency view
Lin et al (2025),frame_use,AGENCY,Several studies argue that CSR disclosure comes at the expense of shareholders (Hussaini et al. 2021; Xue et al. 2023). A similar viewpoint may be supported for voluntary emissions disclosures because of the additional effort required.,pdf-7,,cost-burden/shareholder-expense view applied to voluntary emissions disclosure
Lin et al (2025),frame_use,OTHER:RBV,"Based on the resource-­ based view, Hart (1995) pointed out that an emphasis on environmental responsibility results in sustained competitive advantage.",pdf-3,,explicitly named resource-based view via Hart; competitive-advantage logic
Lin et al (2025),mechanism_extra,,"Furthermore, the adoption of the Equator Principles restricts financing channels because banks evaluate the potential impacts on the environment and society and monitor the funds used. Therefore, higher interest rates are expected because fewer banks are willing to provide loans.",pdf-4,,"credit-supply channel: Equator Principles screening shrinks lender pool, raises rates"
